host_t_us,k,p,p_smooth,armed,stimulating,fired
1785712344974509,21363,0.004463,0.004463,1,0,0
1785712345112918,21372,0.005556,0.005556,1,0,0
1785712345249971,21379,0.002202,0.003879,1,0,0
1785712345379744,21387,0.002141,0.003300,1,0,0
1785712345514779,21395,0.003835,0.002726,1,0,0
1785712345648684,21403,0.002286,0.002754,1,0,0
1785712345780104,21412,0.002362,0.002362,1,0,0
1785712345912781,21420,0.001633,0.001998,1,0,0
1785712346042854,21428,0.002398,0.002131,1,0,0
1785712346177017,21435,0.003666,0.002565,1,0,0
1785712346307631,21443,0.003933,0.003332,1,0,0
1785712346441486,21451,0.024240,0.010613,1,0,0
1785712346575334,21459,0.077009,0.035061,1,0,0
1785712346706835,21467,0.576307,0.225852,1,0,0
1785712346839261,21475,0.856894,0.503404,1,0,0
1785712346969697,21483,0.964698,0.799300,0,1,1
1785712347124427,21492,0.955701,0.955701,0,1,1
1785712347279123,21502,0.965773,0.965773,0,1,1
1785712347438087,21511,0.959106,0.959106,0,1,1
1785712347592136,21520,0.926309,0.926309,0,1,1
1785712347748710,21529,0.914303,0.914303,0,1,1
1785712347908570,21539,0.769744,0.769744,0,1,1
1785712348066400,21548,0.964971,0.964971,0,1,1
1785712348226117,21558,0.941405,0.941405,0,1,1
1785712348386550,21568,0.930955,0.930955,0,1,1
1785712348550412,21577,0.935455,0.935455,0,1,1
1785712348706672,21587,0.774226,0.774226,0,1,1
1785712348865366,21595,0.870904,0.822565,0,1,0
1785712348998033,21604,0.973639,0.973639,0,1,1
1785712349156168,21613,0.947301,0.947301,0,1,1
1785712349313209,21623,0.981375,0.981375,0,1,1
1785712349474837,21633,0.983696,0.983696,0,1,1
1785712349639699,21643,0.975594,0.975594,0,1,1
1785712349798741,21653,0.995721,0.995721,0,1,1
1785712349956882,21662,0.994281,0.994281,0,1,1
1785712350132003,21673,0.955232,0.955232,0,1,1
1785712350291787,21682,0.926635,0.926635,0,1,1
1785712350446728,21691,0.690934,0.690934,0,1,1
1785712350603148,21700,0.403766,0.403766,1,0,0
1785712350737212,21709,0.120920,0.120920,1,0,0
1785712350870814,21717,0.056298,0.088609,1,0,0
1785712351001121,21725,0.032021,0.069746,1,0,0
1785712351133816,21731,0.011730,0.033349,1,0,0
1785712351257160,21740,0.031912,0.031912,1,0,0
1785712351391726,21748,0.029403,0.030658,1,0,0
1785712351524177,21756,0.030255,0.030524,1,0,0
1785712351654862,21764,0.011972,0.023877,1,0,0
1785712351788365,21772,0.012507,0.018245,1,0,0
1785712351919562,21780,0.012193,0.012224,1,0,0
1785712352049795,21788,0.028042,0.017581,1,0,0
1785712352180790,21796,0.020976,0.020404,1,0,0
1785712352313041,21803,0.006294,0.018437,1,0,0
1785712352442596,21811,0.005405,0.010892,1,0,0
1785712352575371,21819,0.035196,0.015632,1,0,0
1785712352707423,21827,0.016228,0.018943,1,0,0
1785712352840776,21835,0.025124,0.025516,1,0,0
1785712352969729,21843,0.022735,0.021363,1,0,0
1785712353099686,21851,0.026391,0.024750,1,0,0
1785712353230952,21859,0.009776,0.019634,1,0,0
1785712353473507,21873,0.011249,0.011249,1,0,0
1785712353604130,21881,0.041594,0.026421,1,0,0
1785712353738425,21889,0.434022,0.162288,1,0,0
1785712353870173,21897,0.864557,0.446724,1,0,0
1785712354001844,21905,0.981950,0.760176,0,1,1
1785712354155872,21914,0.985932,0.985932,0,1,1
1785712354311164,21924,0.984340,0.984340,0,1,1
1785712354465755,21933,0.964676,0.964676,0,1,1
1785712354623189,21943,0.962839,0.962839,0,1,1
1785712354780301,21952,0.728321,0.728321,0,1,1
1785712354935348,21961,0.597665,0.597665,1,0,0
1785712355073249,21970,0.876919,0.876919,0,1,1
1785712355275064,21979,0.970823,0.970823,0,1,1
1785712355461005,21991,0.973382,0.973382,0,1,1
1785712355625995,22000,0.972362,0.972362,0,1,1
1785712355786431,22012,0.965717,0.965717,0,1,1
1785712355950837,22022,0.890387,0.890387,0,1,1
1785712356110015,22031,0.869602,0.869602,0,1,1
1785712356266168,22041,0.557078,0.557078,1,0,0
1785712356401100,22049,0.646359,0.601719,1,0,0
1785712356533525,22057,0.782447,0.661961,1,0,0
1785712356666153,22065,0.552110,0.660306,1,0,0
1785712356799707,22072,0.103846,0.479468,1,0,0
1785712356928645,22080,0.009148,0.221702,1,0,0
1785712357062007,22088,0.024853,0.045949,1,0,0
1785712357195918,22096,0.026098,0.020033,1,0,0
1785712357328474,22104,0.012041,0.020997,1,0,0
1785712357462236,22113,0.012843,0.012843,1,0,0
1785712357596871,22121,0.006046,0.009444,1,0,0
1785712357729648,22128,0.005027,0.007972,1,0,0
1785712357858422,22136,0.001409,0.004161,1,0,0
1785712357991643,22144,0.008937,0.005124,1,0,0
1785712358124866,22152,0.010467,0.006937,1,0,0
1785712358257718,22160,0.023759,0.014387,1,0,0
1785712358389294,22168,0.019440,0.017888,1,0,0
1785712358519811,22175,0.018074,0.020424,1,0,0
1785712358647585,22183,0.017098,0.018204,1,0,0
1785712358779763,22191,0.503514,0.179562,1,0,0
1785712358913079,22200,0.951489,0.951489,0,1,1
1785712359068696,22209,0.976572,0.976572,0,1,1
1785712359225136,22218,0.957060,0.957060,0,1,1
1785712359384375,22227,0.916759,0.916759,0,1,1
1785712359540575,22235,0.881684,0.899221,0,1,0
1785712359675321,22241,0.671283,0.823242,0,1,0
1785712359803144,22251,0.887562,0.887562,0,1,1
1785712359963009,22261,0.910156,0.910156,0,1,1
1785712360123901,22271,0.975869,0.975869,0,1,1
1785712360286418,22282,0.986326,0.986326,0,1,1
1785712360447882,22292,0.981521,0.981521,0,1,1
1785712360617816,22302,0.891070,0.891070,0,1,1
1785712360776340,22312,0.645570,0.645570,1,0,0
1785712360911861,22320,0.350275,0.497922,1,0,0
1785712361042998,22328,0.354684,0.450176,1,0,0
1785712361178054,22335,0.183193,0.296051,1,0,0
1785712361307212,22343,0.345226,0.294368,1,0,0
1785712361440017,22351,0.730007,0.419475,1,0,0
1785712361572692,22359,0.827546,0.634260,1,0,0
1785712361704854,22367,0.919273,0.825609,0,1,1
1785712361857974,22376,0.605411,0.605411,1,0,0
1785712361993863,22384,0.604461,0.604936,1,0,0
1785712362126366,22393,0.718190,0.718190,0,1,1
1785712362279348,22400,0.788967,0.753579,0,1,0
1785712362408066,22409,0.084033,0.084033,1,0,0
1785712362543340,22418,0.014785,0.014785,1,0,0
1785712362678420,22425,0.003756,0.009271,1,0,0
1785712362808242,22433,0.004559,0.007700,1,0,0
1785712362941970,22441,0.001794,0.003370,1,0,0
1785712363075113,22449,0.003314,0.003222,1,0,0
1785712363206034,22457,0.005653,0.003587,1,0,0
1785712363338511,22465,0.208984,0.072650,1,0,0
1785712363470779,22473,0.722051,0.312230,1,0,0
1785712363600040,22481,0.254880,0.395305,1,0,0
1785712363731073,22489,0.286336,0.421089,1,0,0
1785712363863109,22497,0.139321,0.226846,1,0,0
1785712363994955,22504,0.027106,0.150921,1,0,0
1785712364124759,22512,0.088260,0.084896,1,0,0
1785712364256010,22520,0.428389,0.181251,1,0,0
1785712364388336,22528,0.077984,0.198211,1,0,0
1785712364518288,22536,0.085191,0.197188,1,0,0
1785712364647809,22544,0.045544,0.069573,1,0,0
1785712364779728,22551,0.208892,0.113209,1,0,0
1785712364907830,22559,0.473252,0.242563,1,0,0
1785712365040002,22567,0.534620,0.405588,1,0,0
1785712365174979,22575,0.408643,0.472171,1,0,0
1785712365305895,22583,0.564183,0.502482,1,0,0
1785712365440858,22591,0.286843,0.419890,1,0,0
1785712365571199,22599,0.294803,0.381943,1,0,0
1785712365717905,22608,0.301044,0.301044,1,0,0
1785712365850424,22616,0.041026,0.171035,1,0,0
1785712365983048,22624,0.009175,0.117082,1,0,0
1785712366116100,22632,0.001956,0.017386,1,0,0
1785712366249300,22639,0.010720,0.007284,1,0,0
1785712366379034,22647,0.008979,0.007218,1,0,0
1785712366516230,22655,0.004543,0.008080,1,0,0
1785712366650909,22663,0.002506,0.005342,1,0,0
1785712366786890,22672,0.001109,0.001109,1,0,0
1785712366920598,22679,0.000625,0.000867,1,0,0
1785712367048714,22688,0.000216,0.000216,1,0,0
1785712367182668,22696,0.000121,0.000169,1,0,0
1785712367313213,22704,0.000653,0.000330,1,0,0
1785712367445034,22711,0.001210,0.000661,1,0,0
1785712367575963,22719,0.000754,0.000873,1,0,0
1785712367707162,22727,0.000661,0.000875,1,0,0
1785712367838578,22735,0.000204,0.000540,1,0,0
1785712367968842,22743,0.000070,0.000312,1,0,0
1785712368097962,22751,0.000386,0.000220,1,0,0
1785712368230539,22758,0.000430,0.000295,1,0,0
1785712368358477,22766,0.002978,0.001265,1,0,0
1785712368490940,22774,0.008353,0.003920,1,0,0
1785712368623504,22782,0.023456,0.011595,1,0,0
1785712368758045,22790,0.073670,0.035159,1,0,0
1785712368890845,22798,0.025009,0.040711,1,0,0
1785712369020402,22806,0.143828,0.080835,1,0,0
1785712369153486,22814,0.045473,0.071437,1,0,0
1785712369286265,22822,0.120422,0.103241,1,0,0
1785712369418861,22830,0.185917,0.117271,1,0,0
1785712369550389,22837,0.084006,0.130115,1,0,0
1785712369679897,22845,0.090598,0.120174,1,0,0
1785712369814947,22853,0.075165,0.083256,1,0,0
1785712369948031,22861,0.033965,0.066576,1,0,0
1785712370081463,22869,0.021284,0.043472,1,0,0
1785712370213250,22878,0.009126,0.009126,1,0,0
1785712370345040,22886,0.116456,0.062791,1,0,0
1785712370476124,22893,0.246642,0.124075,1,0,0
1785712370606499,22901,0.302137,0.221745,1,0,0
1785712370738737,22909,0.123169,0.223983,1,0,0
1785712370890641,22918,0.186683,0.186683,1,0,0
1785712371042566,22927,0.062272,0.062272,1,0,0
1785712371179339,22935,0.016673,0.039473,1,0,0
1785712371315081,22943,0.073175,0.050707,1,0,0
1785712371448954,22951,0.039802,0.043217,1,0,0
1785712371581570,22959,0.163232,0.092070,1,0,0
1785712371713660,22967,0.283675,0.162236,1,0,0
1785712371843403,22976,0.863498,0.863498,0,1,1
1785712371999485,22985,0.965405,0.965405,0,1,1
1785712372155937,22994,0.960679,0.960679,0,1,1
1785712372313083,23003,0.804461,0.804461,0,1,1
1785712372469177,23013,0.965832,0.965832,0,1,1
1785712372626564,23023,0.669368,0.669368,1,0,0
1785712372761513,23030,0.608058,0.638713,1,0,0
1785712372889050,23038,0.795605,0.691011,0,1,1
1785712373043469,23048,0.967012,0.967012,0,1,1
1785712373201320,23057,0.980720,0.980720,0,1,1
1785712373355967,23066,0.989757,0.989757,0,1,1
1785712373511594,23076,0.939149,0.939149,0,1,1
1785712373667009,23085,0.871202,0.871202,0,1,1
1785712373821250,23094,0.717141,0.717141,0,1,1
1785712373975469,23104,0.248842,0.248842,1,0,0
1785712374110373,23111,0.259679,0.254261,1,0,0
1785712374237140,23119,0.043331,0.183951,1,0,0
1785712374369590,23127,0.032325,0.111778,1,0,0
1785712374501088,23135,0.058324,0.044660,1,0,0
1785712374633328,23143,0.002681,0.031110,1,0,0
1785712374768676,23150,0.005336,0.022114,1,0,0
1785712374899055,23158,0.003631,0.003883,1,0,0
1785712375031153,23167,0.002274,0.002274,1,0,0
1785712375165057,23175,0.005547,0.003910,1,0,0
1785712375294937,23183,0.002202,0.003341,1,0,0
1785712375426488,23190,0.001776,0.003175,1,0,0
1785712375557165,23198,0.002543,0.002174,1,0,0
1785712375690897,23206,0.003750,0.002690,1,0,0
1785712375824526,23214,0.020047,0.008780,1,0,0
1785712375955977,23222,0.097098,0.040298,1,0,0
1785712376097730,23230,0.191270,0.102805,1,0,0
1785712376230448,23238,0.360988,0.216452,1,0,0
1785712376361825,23247,0.054528,0.054528,1,0,0
1785712376493481,23255,0.228497,0.141512,1,0,0
1785712376624348,23262,0.246674,0.176566,1,0,0
1785712376755614,23270,0.210402,0.228524,1,0,0
1785712376887215,23278,0.148568,0.201881,1,0,0
1785712377019846,23285,0.044810,0.134593,1,0,0
1785712377149063,23293,0.025053,0.072811,1,0,0
1785712377283236,23302,0.020284,0.020284,1,0,0
1785712377416872,23309,0.007485,0.013885,1,0,0
1785712377545559,23318,0.001510,0.001510,1,0,0
1785712377678513,23325,0.000975,0.001242,1,0,0
1785712377806897,23333,0.000773,0.001086,1,0,0
1785712377940247,23341,0.000783,0.000844,1,0,0
1785712378073557,23349,0.000802,0.000786,1,0,0
1785712378205005,23357,0.001008,0.000864,1,0,0
1785712378337545,23365,0.000487,0.000766,1,0,0
1785712378470352,23373,0.020856,0.007450,1,0,0
1785712378600215,23381,0.042627,0.021323,1,0,0
