pulse_n,host_t_us,sensor_t_us,feature,value,threshold,refractory_s
1,1785712346969697,21483,p_smooth,0.7993,0.68,0.0
2,1785712347124427,21492,p_smooth,0.9557,0.68,0.0
3,1785712347279123,21502,p_smooth,0.9658,0.68,0.0
4,1785712347438087,21511,p_smooth,0.9591,0.68,0.0
5,1785712347592136,21520,p_smooth,0.9263,0.68,0.0
6,1785712347748710,21529,p_smooth,0.9143,0.68,0.0
7,1785712347908570,21539,p_smooth,0.7697,0.68,0.0
8,1785712348066400,21548,p_smooth,0.9650,0.68,0.0
9,1785712348226117,21558,p_smooth,0.9414,0.68,0.0
10,1785712348386550,21568,p_smooth,0.9310,0.68,0.0
11,1785712348550412,21577,p_smooth,0.9355,0.68,0.0
12,1785712348706672,21587,p_smooth,0.7742,0.68,0.0
13,1785712348998033,21604,p_smooth,0.9736,0.68,0.0
14,1785712349156168,21613,p_smooth,0.9473,0.68,0.0
15,1785712349313209,21623,p_smooth,0.9814,0.68,0.0
16,1785712349474837,21633,p_smooth,0.9837,0.68,0.0
17,1785712349639699,21643,p_smooth,0.9756,0.68,0.0
18,1785712349798741,21653,p_smooth,0.9957,0.68,0.0
19,1785712349956882,21662,p_smooth,0.9943,0.68,0.0
20,1785712350132003,21673,p_smooth,0.9552,0.68,0.0
21,1785712350291787,21682,p_smooth,0.9266,0.68,0.0
22,1785712350446728,21691,p_smooth,0.6909,0.68,0.0
23,1785712354001844,21905,p_smooth,0.7602,0.68,0.0
24,1785712354155872,21914,p_smooth,0.9859,0.68,0.0
25,1785712354311164,21924,p_smooth,0.9843,0.68,0.0
26,1785712354465755,21933,p_smooth,0.9647,0.68,0.0
27,1785712354623189,21943,p_smooth,0.9628,0.68,0.0
28,1785712354780301,21952,p_smooth,0.7283,0.68,0.0
29,1785712355073249,21970,p_smooth,0.8769,0.68,0.0
30,1785712355275064,21979,p_smooth,0.9708,0.68,0.0
31,1785712355461005,21991,p_smooth,0.9734,0.68,0.0
32,1785712355625995,22000,p_smooth,0.9724,0.68,0.0
33,1785712355786431,22012,p_smooth,0.9657,0.68,0.0
34,1785712355950837,22022,p_smooth,0.8904,0.68,0.0
35,1785712356110015,22031,p_smooth,0.8696,0.68,0.0
36,1785712358913079,22200,p_smooth,0.9515,0.68,0.0
37,1785712359068696,22209,p_smooth,0.9766,0.68,0.0
38,1785712359225136,22218,p_smooth,0.9571,0.68,0.0
39,1785712359384375,22227,p_smooth,0.9168,0.68,0.0
