pulse_n,host_t_us,sensor_t_us,feature,value,threshold,refractory_s
1,1781546646507128,326602013,acc_magnitude,19.0058,15.0,8.0
2,1781546659437216,339502271,acc_magnitude,16.2146,15.0,8.0
3,1781546670416863,350485824,acc_magnitude,18.0463,15.0,8.0
4,1781546684157490,364252766,acc_magnitude,15.8570,15.0,8.0
5,1781546692225340,372302927,acc_magnitude,15.5372,15.0,8.0
6,1781546724656811,404753576,acc_magnitude,15.9514,15.0,8.0
7,1781546737346065,417420496,acc_magnitude,18.7941,15.0,8.0
8,1781546747309135,427404029,acc_magnitude,15.4508,15.0,8.0
9,1781546758948006,439037595,acc_magnitude,18.4385,15.0,8.0
10,1781546767468219,447554432,acc_magnitude,15.2543,15.0,8.0
11,1781546776226195,456304607,acc_magnitude,17.2446,15.0,8.0
12,1781546791405820,471488244,acc_magnitude,18.4974,15.0,8.0
